City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Bushehr,IR,28.97,50.84,62.6,63,0,6.93,clear sky
253,Damietta,EG,31.42,31.81,62.73,71,0,8.34,clear sky
254,Ossora,RU,59.24,163.07,8.76,93,100,18.12,light snow
255,Madimba,TZ,-10.4,40.33,80.6,83,75,11.41,broken clouds
256,Chulman,RU,56.85,124.91,-22.13,83,100,13.76,light snow
257,Ancud,CL,-41.87,-73.82,63.0,58,75,10.29,broken clouds
258,Lahan,NP,26.73,86.5,58.96,55,0,3.6,clear sky
259,Mackay,AU,-21.15,149.2,73.4,94,75,10.29,broken clouds
260,Lorengau,PG,-2.02,147.27,81.5,68,100,3.96,overcast clouds
261,Shimoda,JP,34.67,138.95,30.99,51,0,1.01,clear sky
262,Tessalit,ML,20.2,1.01,70.38,25,80,2.21,broken clouds
263,San Pedro,PH,14.35,121.02,80.6,74,75,8.05,light rain
264,Wasilla,US,61.58,-149.44,33.8,55,90,8.05,light snow
265,Negombo,LK,7.21,79.84,78.8,88,20,5.82,thunderstorm
266,Wittenheim,FR,47.81,7.34,37.99,88,86,5.01,overcast clouds
267,Mozarlandia,BR,-14.74,-50.57,90.64,50,100,2.62,overcast clouds
268,Saint-Pierre,RE,-21.34,55.48,78.8,78,0,26.4,clear sky
269,Half Moon Bay,US,37.46,-122.43,53.6,81,40,3.36,scattered clouds
270,Port Blair,IN,11.67,92.75,79.23,75,34,12.46,scattered clouds
271,Iracoubo,GF,5.48,-53.2,82.08,74,100,7.63,overcast clouds
272,Roma,US,43.21,-75.46,34.0,81,40,10.29,scattered clouds
273,Manuk Mangkaw,PH,4.8,119.85,81.77,78,72,9.8,broken clouds
274,Waitati,NZ,-45.75,170.57,57.0,88,100,5.57,overcast clouds
275,Iquitos,PE,-3.75,-73.25,89.6,62,75,5.82,light rain
276,Atbasar,KZ,51.8,68.33,-14.62,88,53,5.73,broken clouds
277,Coihaique,CL,-45.58,-72.07,55.4,54,90,8.05,overcast clouds
278,Muros,ES,42.78,-9.06,50.0,95,99,1.99,light rain
279,Mocuba,MZ,-16.84,36.99,78.8,81,100,5.46,overcast clouds
280,Murray,US,40.67,-111.89,33.01,79,1,16.11,clear sky
281,Rawson,AR,-43.3,-65.1,64.11,40,75,18.52,broken clouds
282,Chapais,CA,49.78,-74.85,12.2,85,90,8.05,overcast clouds
283,Conceicao Da Barra,BR,-18.59,-39.73,81.88,65,0,10.71,clear sky
284,Bileca,BA,42.87,18.43,55.4,71,40,9.17,light rain
285,Kodiak,US,57.79,-152.41,37.4,74,90,18.34,overcast clouds
286,Wakkanai,JP,45.41,141.67,18.05,94,100,27.51,light snow
287,Omboue,GA,-1.57,9.26,78.1,89,100,4.79,overcast clouds
288,Mahebourg,MU,-20.41,57.7,75.2,94,40,14.99,shower rain
289,Saint-Francois,FR,46.42,3.91,37.4,86,90,4.7,overcast clouds
290,Valley City,US,46.92,-98.0,17.6,92,75,18.34,light snow
291,Gilgit,PK,35.92,74.31,22.59,52,0,2.93,clear sky
292,Moerai,PF,-22.43,-151.33,80.01,73,96,6.89,overcast clouds
293,Zaltan,LY,32.95,11.87,58.01,49,0,11.86,clear sky
294,Petropavlovka,RU,50.61,105.32,-19.01,75,0,3.85,clear sky
295,Hasaki,JP,35.73,140.83,34.0,50,40,16.11,scattered clouds
296,Fortuna,US,40.6,-124.16,52.0,47,90,17.22,overcast clouds
297,Nome,US,64.5,-165.41,21.2,85,1,4.7,clear sky
298,Fiumicino,IT,41.77,12.23,51.8,71,20,10.29,few clouds
299,Sorong,ID,-0.88,131.25,80.76,79,100,2.75,overcast clouds
300,Vitoria Da Conquista,BR,-14.87,-40.84,76.82,57,45,8.37,scattered clouds
301,La Asuncion,VE,11.03,-63.86,80.38,73,50,8.61,scattered clouds
302,Prado,BR,-17.34,-39.22,80.67,67,0,9.69,clear sky
303,Disna,BY,55.57,28.2,34.97,95,100,12.88,light snow
304,Samana,DO,19.21,-69.34,84.2,74,40,6.93,scattered clouds
305,Honiara,SB,-9.43,159.95,75.2,94,40,3.36,scattered clouds
306,Redlands,US,34.06,-117.18,63.0,18,1,3.36,clear sky
307,Shakhunya,RU,57.68,46.61,6.75,96,84,4.85,broken clouds
308,Guerrero Negro,MX,27.98,-114.06,64.22,34,0,22.15,clear sky
309,Bukama,CD,-9.2,25.85,71.24,93,100,1.86,moderate rain
310,Nueva Loja,EC,0.08,-76.88,82.4,78,75,2.24,shower rain
311,Kazerun,IR,29.62,51.65,53.51,70,1,0.36,clear sky
312,Rocha,UY,-34.48,-54.33,74.77,74,91,12.06,moderate rain
313,Banfora,BF,10.63,-4.77,80.87,14,0,4.5,clear sky
314,Kaniama,CD,-7.57,24.18,67.69,93,100,2.19,overcast clouds
315,Kristiansund,NO,63.11,7.73,37.4,74,0,6.93,clear sky
316,Hamilton,US,39.18,-84.53,57.2,58,90,21.92,moderate rain
317,Mezen,RU,65.85,44.24,3.79,93,94,8.57,overcast clouds
318,Coquimbo,CL,-29.95,-71.34,68.0,72,0,16.11,clear sky
319,Grand Gaube,MU,-20.01,57.66,78.01,81,25,7.0,light rain
320,Asau,RO,46.43,26.4,37.0,77,0,4.76,clear sky
321,Ambon,ID,-3.7,128.18,80.01,14,100,5.44,moderate rain
322,Talara,PE,-4.58,-81.27,82.4,58,0,19.46,clear sky
323,Sambava,MG,-14.27,50.17,76.48,82,0,10.6,clear sky
324,Izvor,MK,42.2,21.58,57.2,50,75,18.34,broken clouds
325,Sedhiou,SN,12.71,-15.56,95.0,34,0,6.33,clear sky
326,Allapalli,IN,19.42,80.07,62.64,62,56,2.04,broken clouds
327,Khandyga,RU,62.67,135.6,-43.13,79,55,2.26,broken clouds
328,Green River,US,41.53,-109.47,21.2,57,40,19.46,scattered clouds
329,Margate,GB,51.38,1.39,37.0,83,100,9.62,overcast clouds
330,Aloleng,PH,16.13,119.78,79.25,79,90,12.53,overcast clouds
331,Norman Wells,CA,65.28,-126.83,-2.2,77,40,14.99,scattered clouds
332,Yulara,AU,-25.24,130.99,71.6,19,0,6.93,clear sky
333,Gua Musang,MY,4.88,101.96,70.81,93,100,1.23,overcast clouds
334,Antofagasta,CL,-23.65,-70.4,75.0,73,20,18.34,few clouds
335,Kolyvan,RU,55.31,82.74,-4.0,70,100,15.66,overcast clouds
336,Bama,NG,11.52,13.69,73.96,22,0,9.6,clear sky
337,Vondrozo,MG,-22.82,47.28,65.21,100,41,3.38,light rain
338,Amazar,RU,53.86,120.88,-17.23,81,0,4.18,clear sky
339,Jiangyan,CN,32.51,120.14,21.0,64,0,3.0,clear sky
340,Brae,GB,60.4,-1.35,39.2,86,40,8.05,light rain
341,Jasper,US,37.2,-94.35,33.8,94,90,10.02,snow
342,Erenhot,CN,43.65,111.98,-1.91,80,0,17.83,clear sky
343,Laguna,US,38.42,-121.42,48.0,81,5,4.7,clear sky
344,Borisoglebskiy,RU,57.26,39.15,24.8,79,90,4.47,overcast clouds
345,Komsomolskiy,UZ,40.43,71.72,28.4,79,90,2.24,mist
346,Plouzane,FR,48.38,-4.62,48.2,87,100,10.29,light rain
347,Muhos,FI,64.81,25.99,27.0,92,90,12.75,overcast clouds
348,Iskateley,RU,67.68,53.15,-20.47,85,0,10.67,clear sky
349,Hunchun,CN,42.87,130.36,3.81,74,81,11.88,broken clouds
350,Fatehpur,IN,25.93,80.8,51.12,46,0,6.31,clear sky
351,Hole Narsipur,IN,12.78,76.24,66.99,90,56,7.54,broken clouds
352,Liepaja,LV,56.54,21.04,30.2,100,100,3.36,overcast clouds
